City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
203,Bintulu,MY,75.61,few clouds,3.1667,113.0333,900 Boutique INN
204,Bosaso,SO,84.67,few clouds,11.2842,49.1816,Red Sea Hotel
205,Praia,CV,72.14,broken clouds,14.9215,-23.5087,LT Aparthotel
206,Biaora,IN,82.65,few clouds,23.8667,76.9167,SARPANCH MOTEL HOTEL
208,Korla,CN,76.95,overcast clouds,41.7597,86.1469,Gulisitan Hotel
210,Banda Aceh,ID,80.64,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
211,Port Hedland,AU,77.05,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
215,Qui Nhon,VN,80.04,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
218,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
219,Lompoc,US,72.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
221,Tutoia,BR,76.91,overcast clouds,-2.7619,-42.2744,Pousada Guará's
224,Sao Felix Do Xingu,BR,75.0,clear sky,-6.6447,-51.995,Rio Xingu Camping
229,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
233,Atambua,ID,79.05,few clouds,-9.1061,124.8925,Kost Alfa Flat
234,Miri,MY,77.14,light rain,4.4148,114.0089,"Mega Hotel, Miri"
235,Bonthe,SL,78.31,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
237,Keffi,NG,73.51,light rain,8.8486,7.8736,Imam Family
238,Hervey Bay,AU,70.02,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
242,Kandi,BJ,76.68,overcast clouds,11.1342,2.9386,Hébergement de la Poste
244,Pindiga,NG,77.45,overcast clouds,9.9833,10.9333,Accommodation Center
245,San Cristobal,VE,77.18,clear sky,7.7669,-72.225,Pirineos
249,Mana,GF,76.3,overcast clouds,5.6592,-53.7767,LE SAMANA
251,Sakakah,SA,76.57,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
257,Touros,BR,75.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
264,Biak,ID,79.36,overcast clouds,-0.9131,122.8766,Penginapan Kim
266,Sao Filipe,CV,71.82,clear sky,14.8961,-24.4956,Hotel Xaguate
269,Houma,US,82.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
274,Ugoofaaru,MV,83.12,broken clouds,5.6667,73.0,Ungoofaaru Inn
276,Tonj,SS,76.23,overcast clouds,7.2737,28.6822,Lakan Hotel
281,Puerto Gaitan,CO,78.91,few clouds,4.3133,-72.0816,Brisas del Yucao
282,Alexander City,US,80.06,broken clouds,32.944,-85.9539,Hampton Inn Alexander City
283,Bubaque,GW,78.22,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
284,Mayumba,GA,75.22,overcast clouds,-3.432,10.6554,LIKWALE LODGE
293,Muisne,EC,77.65,light rain,0.6,-80.0333,Quinta Samay
301,Santa Isabel Do Rio Negro,BR,74.23,overcast clouds,-0.4139,-65.0192,Hotel GSA
302,Aksu,CN,73.98,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
303,Kochi,IN,75.18,overcast clouds,9.9399,76.2602,Trident Hotel Cochin
306,Vung Tau,VN,80.31,overcast clouds,10.346,107.0843,Seaside Resort
312,Jitra,MY,78.69,few clouds,6.2681,100.4217,Hotel Darulaman
322,Shimoda,JP,70.16,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
323,Bushehr,IR,82.49,clear sky,28.9684,50.8385,Yas Hotel
325,Ambon,ID,82.54,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
332,Okitipupa,NG,73.67,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
340,Bambanglipuro,ID,78.21,broken clouds,-7.95,110.2833,Puri Brata
341,Kudahuvadhoo,MV,83.07,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
345,Galle,LK,80.04,broken clouds,6.0367,80.217,Amangalla
346,Mandera,KE,80.6,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
349,Charters Towers,AU,70.5,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
351,Half Moon Bay,US,82.02,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
354,Ler,SS,78.15,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
356,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
358,Tabou,CI,75.33,overcast clouds,4.423,-7.3528,hotêl doufoulougou
360,Loiza,PR,82.4,haze,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
362,Ewo,CG,72.9,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
364,Xuddur,SO,74.19,overcast clouds,4.1213,43.8894,Banjanay Hotel
366,Floriano,BR,75.7,few clouds,-6.7669,-43.0225,Hotel Maktub
370,Mumford,GH,74.82,overcast clouds,5.2618,-0.759,Spanish Villa
371,Copacabana,CO,73.83,light rain,6.3463,-75.5089,Hospedaje Brazil
374,Vilhena,BR,73.62,clear sky,-12.7406,-60.1458,Hotel Mirage
377,Odweyne,SO,76.06,overcast clouds,9.4092,45.064,Eng Hiirey House
379,Westport,US,81.93,clear sky,41.1415,-73.3579,The Westport Inn
381,Hobyo,SO,80.08,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
382,Yorosso,ML,84.09,overcast clouds,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
385,Palembang,ID,77.09,mist,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
386,Marsh Harbour,BS,78.33,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
387,Palu,ID,78.85,light rain,-0.8917,119.8707,Hotel Santika Palu
388,La Romana,DO,80.96,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
398,Kavaratti,IN,82.78,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
400,Alofi,NU,82.29,clear sky,-19.0595,-169.9187,Taloa Heights
404,Inirida,CO,74.34,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
405,Kankon,IN,80.4,overcast clouds,15.0167,74.0167,Palolem Beach Resort
406,Fukue,JP,70.16,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
407,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
409,Xinzhi,CN,74.34,broken clouds,36.4989,111.7047,Mingyue Hotel
411,Sanmenxia,CN,73.06,clear sky,34.7747,111.1814,Pengzhou Hotel
423,Mahuva,IN,82.76,few clouds,21.0914,71.7622,Hotel Blue Diamond.
425,Manzanillo,CU,79.32,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
430,Gushikawa,JP,74.43,light rain,26.3544,127.8686,Kirari Guest House
431,Pao De Acucar,BR,71.19,scattered clouds,-9.7483,-37.4367,Porta do Sol Pousada
