City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,Road Town,18.4167,-64.6167,84.29,70,20,6.91,VG,2022-05-22 21:49:41
169,Hambantota,6.1241,81.1185,75.54,100,20,5.75,LK,2022-05-22 21:50:00
170,La Seyne-Sur-Mer,43.0982,5.8847,71.53,87,50,4.0,FR,2022-05-22 21:50:00
171,Dondo,-19.6094,34.7431,72.91,98,42,6.6,MZ,2022-05-22 21:50:00
172,Bom Jesus,-9.0744,-44.3586,82.31,43,90,3.42,BR,2022-05-22 21:50:01
173,Constitucion,-35.3333,-72.4167,52.12,93,100,13.47,CL,2022-05-22 21:50:01
174,Aklavik,68.2191,-135.0107,35.67,59,98,9.24,CA,2022-05-22 21:50:02
175,Neiafu,-18.65,-173.9833,80.38,77,15,10.25,TO,2022-05-22 21:50:03
176,Mar Del Plata,-38.0023,-57.5575,59.95,60,0,3.44,AR,2022-05-22 21:46:45
177,Lasa,46.6166,10.7002,67.08,89,100,2.91,IT,2022-05-22 21:50:04
178,Saint Stephen,50.3333,-4.9,57.2,100,75,8.05,GB,2022-05-22 21:50:05
179,Dolores,-36.3132,-57.6792,52.75,65,91,7.16,AR,2022-05-22 21:50:05
180,Perevolotskiy,51.8763,54.1938,43.84,97,100,12.44,RU,2022-05-22 21:50:06
181,Makakilo City,21.3469,-158.0858,82.72,55,100,17.27,US,2022-05-22 21:40:59
182,Sydney,-33.8679,151.2073,56.71,85,75,8.05,AU,2022-05-22 21:45:55
183,Butaritari,3.0707,172.7902,81.97,78,65,11.34,KI,2022-05-22 21:50:08
184,Tiznit,29.5833,-9.5,74.61,52,12,1.88,MA,2022-05-22 21:50:08
185,Provideniya,64.3833,-173.3,51.91,58,0,18.01,RU,2022-05-22 21:50:09
186,Guerrero Negro,27.9769,-114.0611,68.04,56,0,17.09,MX,2022-05-22 21:49:58
187,Bhan,26.5583,67.7214,96.87,24,0,9.31,PK,2022-05-22 21:50:10
188,Taltal,-25.4,-70.4833,63.05,74,18,6.51,CL,2022-05-22 21:50:11
189,Marawi,7.9986,124.2928,70.16,91,99,2.35,PH,2022-05-22 21:50:11
190,Mount Gambier,-37.8333,140.7667,35.51,93,40,0.0,AU,2022-05-22 21:50:12
191,Kenai,60.5544,-151.2583,69.03,29,0,10.36,US,2022-05-22 21:41:06
192,Mildura,-34.2,142.15,52.81,84,10,8.66,AU,2022-05-22 21:50:12
193,Tiksi,71.6872,128.8694,28.47,91,71,4.52,RU,2022-05-22 21:50:12
194,Mogadishu,2.0371,45.3438,80.6,84,100,18.57,SO,2022-05-22 21:40:14
195,Vitim,59.4511,112.5578,46.4,89,85,0.67,RU,2022-05-22 21:50:13
