City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Ongandjera,NA,-17.8833,15.0667,57.99,22,0,9.04,clear sky
135,Kaitangata,NZ,-46.2817,169.8464,50.14,70,97,16.51,overcast clouds
136,Marmora,IT,44.4583,7.094,52.27,76,100,3.0,overcast clouds
137,Yar-Sale,RU,66.8333,70.8333,34.14,93,99,27.83,overcast clouds
138,Norman Wells,CA,65.282,-126.8329,46.44,49,75,4.61,broken clouds
139,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,17.27,few clouds
140,Alghero,IT,40.5589,8.3181,59.09,82,0,2.3,clear sky
141,Brae,GB,60.3964,-1.353,50.65,98,100,10.83,light rain
142,Tottori,JP,35.5,134.2333,66.27,82,20,3.44,few clouds
143,Ancud,CL,-41.8697,-73.8203,47.79,73,20,16.28,light rain
144,Yellowknife,CA,62.456,-114.3525,37.92,65,100,8.05,light snow
145,Conde,BR,-7.2597,-34.9075,74.66,100,75,5.75,broken clouds
146,Lebu,CL,-37.6167,-73.65,50.05,81,100,5.28,overcast clouds
147,San Policarpo,PH,12.1791,125.5072,82.31,79,72,9.91,broken clouds
148,Monrovia,LR,6.3005,-10.7969,77.36,87,100,10.8,moderate rain
149,Nikolskoye,RU,59.7035,30.7861,45.88,56,30,2.98,scattered clouds
150,Nome,US,64.5011,-165.4064,68.07,22,0,9.22,clear sky
151,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,74,100,8.05,overcast clouds
152,Port Augusta,AU,-32.5,137.7667,65.93,57,68,5.41,broken clouds
153,Karratha,AU,-20.7377,116.8463,77.72,72,99,5.53,light rain
154,Mykhaylivka,UA,47.2724,35.2224,52.18,81,33,9.84,scattered clouds
155,Ranong,TH,9.9658,98.6348,73.33,86,100,12.44,overcast clouds
156,Butaritari,KI,3.0707,172.7902,82.15,78,53,12.62,broken clouds
157,Vostok,RU,46.4856,135.8833,58.35,62,67,2.44,broken clouds
158,San Andres,CO,12.5847,-81.7006,84.22,74,40,14.97,scattered clouds
159,Vila,PT,42.0304,-8.1588,51.69,94,96,2.95,overcast clouds
160,Pedernales,DO,18.0384,-71.744,80.8,72,85,3.94,overcast clouds
161,Wanning,CN,18.8003,110.3967,81.43,86,100,5.17,overcast clouds
162,Barao De Melgaco,BR,-16.1944,-55.9675,68.36,47,3,1.41,clear sky
163,Saint Anthony,US,45.0205,-93.218,58.66,38,100,9.22,overcast clouds
164,East London,ZA,-33.0153,27.9116,59.41,84,3,4.34,clear sky
165,Puerto Ayora,EC,-0.7393,-90.3518,72.68,86,55,7.76,broken clouds
166,Antalaha,MG,-14.9003,50.2788,72.14,82,34,6.49,light rain
167,Alice,US,27.7523,-98.0697,84.54,56,0,8.05,clear sky
168,Hami,CN,42.8,93.45,81.82,17,68,9.91,broken clouds
169,Hazorasp,UZ,41.3194,61.0742,57.04,38,0,9.84,clear sky
170,Kavieng,PG,-2.5744,150.7967,84.79,64,18,17.96,few clouds
171,Palauig,PH,15.435,119.9045,81.99,80,100,10.65,overcast clouds
172,Itarema,BR,-2.9248,-39.9167,75.94,87,25,8.01,scattered clouds
173,Buraydah,SA,26.326,43.975,88.25,10,1,9.8,clear sky
174,Mpanda,TZ,-6.3655,31.0409,63.72,88,37,1.14,scattered clouds
175,Vyartsilya,RU,62.1764,30.693,43.09,68,98,4.05,overcast clouds
176,Kasongo-Lunda,CD,-6.4667,16.8167,69.22,93,62,1.19,light rain
177,Tura,IN,25.5198,90.2201,70.7,96,90,5.84,overcast clouds
178,Gunjur,GM,13.2019,-16.7339,73.47,83,0,10.36,clear sky
179,Letka,RU,59.6011,49.4232,30.97,98,100,6.02,light snow
180,Luganville,VU,-15.5333,167.1667,84.27,71,26,1.77,scattered clouds
181,Hirara,JP,24.8,125.2833,78.66,88,75,12.66,moderate rain
182,Chern,RU,53.4523,36.9145,33.75,86,3,7.09,clear sky
183,Dikson,RU,73.5069,80.5464,24.06,89,76,10.47,broken clouds
184,Upernavik,GL,72.7868,-56.1549,31.87,83,100,24.11,overcast clouds
185,Klyuchi,RU,52.2667,79.1667,52.32,42,86,6.33,overcast clouds
186,Port Blair,IN,11.6667,92.75,84.24,79,75,11.5,mist
187,Saldanha,ZA,-33.0117,17.9442,50.05,89,73,2.64,broken clouds
188,Newton,US,42.337,-71.2092,85.98,75,0,16.11,thunderstorm
189,Russell,US,32.3502,-85.1999,78.4,78,0,5.75,clear sky
190,Ribeira Grande,PT,38.5167,-28.7,64.35,94,100,4.23,light rain
191,Pembroke,CA,45.8168,-77.1162,55.18,73,98,7.56,overcast clouds
192,Vila Velha,BR,-20.3297,-40.2925,69.75,88,75,4.61,broken clouds
193,Abeche,TD,13.8292,20.8324,84.33,15,75,9.35,broken clouds
194,Sandpoint,US,48.2766,-116.5533,68.97,35,100,6.91,overcast clouds
195,Chuy,UY,-33.6971,-53.4616,53.22,82,66,5.95,broken clouds
196,Hambantota,LK,6.1241,81.1185,79.0,84,93,15.35,overcast clouds
197,Walvis Bay,NA,-22.9575,14.5053,65.35,32,4,11.5,clear sky
198,Saskylakh,RU,71.9167,114.0833,32.65,93,100,9.62,overcast clouds
199,Longyearbyen,SJ,78.2186,15.6401,35.44,87,75,2.3,broken clouds
200,Sheopur,IN,25.6667,76.7,87.69,53,3,10.13,clear sky
201,Ankang,CN,32.68,109.0172,68.54,65,1,0.81,clear sky
202,Hailun,CN,47.45,126.9333,70.65,35,76,17.63,broken clouds
203,Bintulu,MY,3.1667,113.0333,75.61,100,20,3.44,few clouds
204,Bosaso,SO,11.2842,49.1816,84.67,56,23,4.61,few clouds
205,Praia,CV,14.9215,-23.5087,72.14,68,75,11.5,broken clouds
206,Biaora,IN,23.8667,76.9167,82.65,64,14,13.91,few clouds
207,Merauke,ID,-8.4667,140.3333,83.08,72,22,12.33,few clouds
208,Korla,CN,41.7597,86.1469,76.95,21,100,12.66,overcast clouds
209,College,US,64.8569,-147.8028,67.95,25,40,16.11,scattered clouds
210,Banda Aceh,ID,5.5577,95.3222,80.64,79,100,13.22,light rain
211,Port Hedland,AU,-20.3167,118.5667,77.05,100,100,0.0,overcast clouds
212,Kathmandu,NP,27.7167,85.3167,61.02,94,75,8.05,broken clouds
213,Churapcha,RU,62.0025,132.4325,50.29,54,8,7.49,clear sky
214,La Ronge,CA,55.1001,-105.2842,66.45,13,75,13.8,broken clouds
215,Qui Nhon,VN,13.7667,109.2333,80.04,78,100,6.98,overcast clouds
216,Margate,GB,51.3813,1.3862,57.69,81,98,1.01,overcast clouds
217,Barinas,VE,8.6226,-70.2075,87.84,58,8,4.61,clear sky
218,Salalah,OM,17.0151,54.0924,84.29,74,75,8.05,broken clouds
219,Lompoc,US,34.6391,-120.4579,72.01,71,0,20.0,clear sky
220,Gold Coast,AU,-28.0,153.4333,69.91,95,100,10.36,mist
221,Tutoia,BR,-2.7619,-42.2744,76.91,85,86,3.24,overcast clouds
222,Pastavy,BY,55.1168,26.8326,42.01,65,100,4.29,overcast clouds
223,Leningradskiy,RU,69.3833,178.4167,37.33,91,96,4.59,overcast clouds
224,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.0,73,8,2.77,clear sky
225,Usinsk,RU,65.9939,57.5281,33.98,89,100,29.95,overcast clouds
226,Yumen,CN,40.2833,97.2,65.5,35,16,20.11,few clouds
227,Necochea,AR,-38.5473,-58.7368,51.73,55,100,9.51,overcast clouds
228,Lagoa,PT,39.05,-27.9833,61.41,93,100,11.92,light rain
229,Mahebourg,MU,-20.4081,57.7,75.49,73,40,9.22,scattered clouds
230,Pisco,PE,-13.7,-76.2167,66.02,88,75,8.05,mist
231,Khandbari,NP,27.3747,87.2039,67.15,76,99,3.71,overcast clouds
232,Nuuk,GL,64.1835,-51.7216,32.61,100,75,36.82,broken clouds
233,Atambua,ID,-9.1061,124.8925,79.05,65,13,5.35,few clouds
234,Miri,MY,4.4148,114.0089,77.14,94,40,0.0,light rain
235,Bonthe,SL,7.5264,-12.505,78.31,86,93,10.51,overcast clouds
236,Ghimes-Faget,RO,46.5833,26.0667,46.87,97,78,2.66,broken clouds
237,Keffi,NG,8.8486,7.8736,73.51,91,92,3.67,light rain
238,Hervey Bay,AU,-25.2986,152.8535,70.02,81,98,5.01,overcast clouds
239,Iqaluit,CA,63.7506,-68.5145,26.33,79,100,25.32,light snow
240,Megion,RU,61.0296,76.1136,48.22,87,99,17.85,moderate rain
241,Iquique,CL,-20.2208,-70.1431,63.93,78,41,4.0,scattered clouds
242,Kandi,BJ,11.1342,2.9386,76.68,73,97,4.56,overcast clouds
243,Beira,MZ,-19.8436,34.8389,68.59,93,50,10.67,light rain
244,Pindiga,NG,9.9833,10.9333,77.45,66,92,9.78,overcast clouds
245,San Cristobal,VE,7.7669,-72.225,77.18,76,2,2.84,clear sky
246,Broome,US,42.2506,-75.833,59.38,88,100,13.8,overcast clouds
247,Boguchany,RU,58.3814,97.4531,54.34,72,21,2.01,few clouds
248,Saint George,US,37.1041,-113.5841,85.95,10,0,18.41,clear sky
249,Mana,GF,5.6592,-53.7767,76.3,88,99,3.94,overcast clouds
250,Wanaka,NZ,-44.7,169.15,50.14,55,3,3.49,clear sky
251,Sakakah,SA,29.9697,40.2064,76.57,24,18,16.84,few clouds
252,Coquimbo,CL,-29.9533,-71.3436,56.93,100,0,4.61,clear sky
253,Fairbanks,US,64.8378,-147.7164,67.96,25,0,16.11,clear sky
254,Solvychegodsk,RU,61.3305,46.9156,30.94,97,100,8.1,light snow
255,Green River,US,41.5286,-109.4662,55.8,38,86,5.99,overcast clouds
256,Mnogovershinnyy,RU,53.9353,139.9242,35.42,82,100,4.05,overcast clouds
257,Touros,BR,-5.1989,-35.4608,75.7,91,20,12.75,few clouds
258,Ekibastuz,KZ,51.6667,75.3667,48.04,55,12,10.85,few clouds
259,Bulancak,TR,40.9372,38.2291,64.22,63,75,3.44,broken clouds
260,Qaqortoq,GL,60.7167,-46.0333,32.74,97,89,6.15,overcast clouds
261,Vangaindrano,MG,-23.35,47.6,64.56,94,6,3.96,clear sky
262,Calama,CL,-22.4667,-68.9333,57.69,10,0,10.36,clear sky
263,Esperance,AU,-33.8667,121.9,62.71,77,12,12.28,few clouds
264,Biak,ID,-0.9131,122.8766,79.36,75,95,5.06,overcast clouds
265,Hasaki,JP,35.7333,140.8333,64.29,81,100,12.91,overcast clouds
266,Sao Filipe,CV,14.8961,-24.4956,71.82,75,7,5.79,clear sky
267,Husavik,IS,66.0449,-17.3389,37.94,95,100,7.74,overcast clouds
268,Santander,ES,43.4647,-3.8044,61.47,95,75,9.22,broken clouds
269,Houma,US,29.5958,-90.7195,82.0,82,0,4.61,clear sky
270,Kungurtug,RU,50.5994,97.5228,61.0,28,100,0.69,overcast clouds
271,Mar Del Plata,AR,-38.0023,-57.5575,55.94,68,0,5.75,clear sky
272,Russellville,US,35.2784,-93.1338,61.18,68,100,8.05,overcast clouds
273,Luderitz,NA,-26.6481,15.1594,59.86,57,15,6.17,few clouds
274,Ugoofaaru,MV,5.6667,73.0,83.12,78,61,15.59,broken clouds
275,Gamba,GA,-2.65,10.0,75.76,72,85,6.15,overcast clouds
276,Tonj,SS,7.2737,28.6822,76.23,79,100,4.61,overcast clouds
277,Port Lincoln,AU,-34.7333,135.8667,62.85,70,63,11.43,broken clouds
278,Ballina,AU,-28.8667,153.5667,60.78,81,61,11.65,light rain
279,Rawson,AR,-43.3002,-65.1023,47.59,55,100,16.2,overcast clouds
280,Cape Town,ZA,-33.9258,18.4232,62.38,87,0,3.0,clear sky
281,Puerto Gaitan,CO,4.3133,-72.0816,78.91,74,24,7.16,few clouds
282,Alexander City,US,32.944,-85.9539,80.06,83,75,3.44,broken clouds
283,Bubaque,GW,11.2833,-15.8333,78.22,75,34,15.7,scattered clouds
284,Mayumba,GA,-3.432,10.6554,75.22,81,92,5.73,overcast clouds
285,Port Moresby,PG,-9.4431,147.1797,85.42,74,40,11.5,scattered clouds
286,Nemuro,JP,43.3236,145.575,45.72,96,100,14.97,overcast clouds
287,Inhambane,MZ,-23.865,35.3833,68.09,95,96,2.64,moderate rain
288,Raudeberg,NO,61.9875,5.1352,53.87,74,100,11.97,light rain
289,Sioux Lookout,CA,50.1001,-91.917,55.47,28,40,8.05,scattered clouds
290,San Ramon,US,37.7799,-121.978,91.49,37,0,14.97,clear sky
291,Khatanga,RU,71.9667,102.5,32.4,88,100,8.03,overcast clouds
292,Lavrentiya,RU,65.5833,-171.0,40.46,80,100,5.88,overcast clouds
293,Muisne,EC,0.6,-80.0333,77.65,89,99,9.46,light rain
294,Itaperucu,BR,-25.22,-49.3478,54.43,98,18,2.55,few clouds
295,Palaikastron,GR,35.2,26.25,67.12,65,1,10.04,clear sky
296,Codrington,AU,-38.2667,141.9667,52.84,65,1,5.06,clear sky
297,Penzance,GB,50.1186,-5.5371,54.28,88,85,13.96,overcast clouds
298,Konstantinovka,RU,49.6167,127.9833,68.09,44,76,16.64,broken clouds
299,Alice Springs,AU,-23.7,133.8833,58.55,58,22,0.0,few clouds
300,Nyakabindi,TZ,-2.6333,33.9833,64.42,77,63,2.86,broken clouds
301,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.23,93,96,0.76,overcast clouds
302,Aksu,CN,41.1231,80.2644,73.98,25,100,10.87,overcast clouds
303,Kochi,IN,9.9399,76.2602,75.18,90,100,4.32,overcast clouds
304,Kokhma,RU,56.9349,41.0915,28.4,92,81,6.33,broken clouds
305,Painesville,US,41.7245,-81.2457,59.67,80,0,3.44,clear sky
306,Vung Tau,VN,10.346,107.0843,80.31,81,98,12.75,overcast clouds
307,Boende,CD,-0.2167,20.8667,72.37,95,79,3.22,broken clouds
308,Mvuma,ZW,-19.2792,30.5283,46.85,91,1,6.17,clear sky
309,Nioro,GM,13.35,-15.75,76.82,59,92,8.37,overcast clouds
310,Dorchester,US,33.1002,-80.3831,80.64,94,75,5.75,broken clouds
311,Mezen,RU,65.8522,44.24,28.78,80,97,14.52,overcast clouds
312,Jitra,MY,6.2681,100.4217,78.69,94,20,3.44,few clouds
313,Whitianga,NZ,-36.8333,175.7,61.18,63,32,8.79,scattered clouds
314,Trelew,AR,-43.249,-65.3051,45.39,62,97,16.04,overcast clouds
315,Muros,ES,42.7762,-9.0603,59.68,91,35,2.13,scattered clouds
316,Ikongo,MG,-21.8833,47.4333,62.15,94,10,2.95,clear sky
317,Avera,US,33.194,-82.5271,82.45,50,100,6.91,overcast clouds
318,Namatanai,PG,-3.6667,152.4333,85.42,59,44,12.03,scattered clouds
319,Marmande,FR,44.5,0.1667,68.31,88,77,13.24,broken clouds
320,Ahuimanu,US,21.4447,-157.8378,85.71,66,75,13.8,broken clouds
321,Tiznit,MA,29.5833,-9.5,73.27,54,10,1.32,clear sky
322,Shimoda,JP,34.6667,138.95,70.16,72,7,4.63,clear sky
323,Bushehr,IR,28.9684,50.8385,82.49,47,0,6.91,clear sky
324,Neuquen,AR,-38.9516,-68.0591,55.29,54,75,8.05,broken clouds
325,Ambon,ID,-3.6954,128.1814,82.54,78,20,1.14,few clouds
326,Catacocha,EC,-4.0667,-79.6333,68.29,94,65,3.22,light rain
327,Ewa Beach,US,21.3156,-158.0072,85.95,54,75,13.8,broken clouds
328,Saint-Pierre,RE,-21.3393,55.4781,67.91,60,0,6.91,clear sky
329,Mudgee,AU,-32.5943,149.5871,57.78,72,94,10.76,overcast clouds
330,Otautau,NZ,-46.15,168.0,50.27,69,68,7.58,broken clouds
331,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,100,100,4.47,light intensity shower rain
332,Okitipupa,NG,6.5047,4.7839,73.67,97,94,0.38,overcast clouds
333,Hisai,JP,34.6667,136.4667,69.6,55,15,10.92,few clouds
334,Shaunavon,CA,49.6501,-108.4181,56.98,27,33,8.28,scattered clouds
335,San Antonio,US,29.4241,-98.4936,88.25,51,20,6.91,few clouds
336,Skibbereen,IE,51.55,-9.2667,51.12,88,55,12.68,broken clouds
337,Camacha,PT,33.0833,-16.3333,63.82,68,40,9.22,scattered clouds
338,Warmbad,NA,-28.45,18.7333,56.71,54,7,7.94,clear sky
339,Campbell River,CA,50.0163,-125.2446,62.98,48,100,6.91,overcast clouds
340,Bambanglipuro,ID,-7.95,110.2833,78.21,83,55,4.72,broken clouds
341,Kudahuvadhoo,MV,2.6708,72.8944,83.07,75,53,11.56,broken clouds
342,Bestobe,KZ,52.4994,73.0975,46.99,61,23,15.23,few clouds
343,Rehoboth,NA,-23.3167,17.0833,47.23,65,20,3.85,few clouds
344,Akonolinga,CM,3.7667,12.25,67.82,100,81,3.18,broken clouds
345,Galle,LK,6.0367,80.217,80.04,86,58,12.03,broken clouds
346,Mandera,KE,3.9366,41.867,80.6,63,61,15.43,broken clouds
347,San Patricio,US,28.017,-97.5169,85.06,65,100,14.18,overcast clouds
348,Kuznechnoye,RU,61.12,29.8686,46.0,78,82,4.52,broken clouds
349,Charters Towers,AU,-20.1,146.2667,70.5,70,88,11.5,overcast clouds
